"age";"Ca";"Ti"
11750;3.17383671372491;2.41469653042581
11751;3.42692385056603;2.48516659812545
11752;3.50241344129582;2.49065206748605
11753;3.62652161843694;2.47923262914752
11754;3.67426393583797;2.48871117959349
11755;2.91714356799122;2.52119249235061
11756;2.45550761871775;2.59260487829827
11757;2.52928002551898;2.6275607146156
11758;2.58335328181518;2.70839045638708
11759;2.39934094409097;2.58766401927362
11760;2.36994762819483;2.50752854462363
11761;2.7515457675713;2.62915826248256
11762;2.97493036578512;2.55252642776824
11763;3.10428086119934;2.46344845751604
11764;3.22020811952553;2.49427111614259
11765;3.18505434857294;2.42648953134422
11766;3.25837426475142;2.48973203860122
11767;3.27208493373017;2.40101539157454
11768;3.06192841157805;2.37822268588902
11769;2.65081354328451;2.52442720392912
11770;2.46832718707735;2.5436283625339
11771;2.58765427351966;2.48102255053277
11772;2.09915846146684;2.37958131171986
11773;2.169037070594;2.51243562424761
11774;2.41011563081538;2.43831828963147
11775;2.26020752867335;2.64740688971391
11776;2.2924206917662;2.48975371566393
11777;2.31477307307091;2.52507310425029
11778;2.1332508902799;2.51837500690416
11779;2.04601701040991;2.41514871025314
11780;2.08129717755317;2.26005684278077
11781;2.18865348544449;2.41512661397142
11782;2.09319647879762;2.4229214308949
11783;2.02066443274854;2.32543103830469
11784;2.10739632902496;2.48208977846637
11785;2.04137164014342;2.32083745015805
11786;2.07235792840957;2.36459878439969
11787;2.21604127455368;2.49512202426548
11788;2.05506969959223;2.57881675335726
11789;2.09005434373724;2.52238438062696
11790;2.06054294681553;2.38808562560809
11791;2.10602959946888;2.40418724557533
11792;2.00081026837975;2.46737286956947
11793;1.94390919199789;2.42809525759017
11794;2.04327121925089;2.35546603946789
11795;1.98082144352771;2.29284000320997
11796;2.12615247713086;2.33933739664954
11797;2.20693447931867;2.25155241350362
11798;2.10707865764845;2.38533797561968
11799;2.10403263321341;2.26524464045864
11800;2.22587300601297;2.38599883041514
11801;2.24180294596344;2.45487372002425
11802;2.25819447145813;2.45820499194994
11803;2.2920122051327;2.41783125697905
11804;2.22299463670451;2.44553133051046
11805;2.16991484603565;2.35244869451919
11806;2.11745719132736;2.3315605321776
11807;2.13167942457623;2.34115279509372
11808;2.0272187178562;2.392842587183
11809;2.1556860174818;2.45693823554316
11810;2.0560229023351;2.38058235744008
11811;2.28580918448854;2.62419713050789
11812;2.37178346244701;2.69179442201415
11813;2.13373908277778;2.54616303861124
11814;2.20568342619037;2.53786038278348
11815;2.12446397843762;2.30292655833253
11816;1.93206318865362;2.25621360919676
11817;2.08651728789912;2.29913536517981
11818;2.02417098110337;2.26923836699183
11819;2.167280686094;2.31036311844487
11820;2.28097043131537;2.27974689023529
11821;2.09262709800777;2.38327088195388
11822;2.18739894723671;2.40151366114436
11823;2.25514765768959;2.422219931612
11824;2.16991477823779;2.48449831606956
11825;2.1681216073685;2.36955595311595
11826;2.16955143708525;2.45827816881198
11827;2.08165746100753;2.43595138230507
11828;2.10222789560449;2.3215907240788
11829;1.97246855600525;2.29419615279331
11830;2.14349671766788;2.39459867383495
11831;2.15487024379161;2.42936629437187
11832;1.88804505884103;2.26261714169451
11833;2.28656201151406;2.50673495020765
11834;2.16763477030985;2.40941240116895
11835;2.02283331578505;2.41970997457412
11836;1.95573555243611;2.19531040423143
11837;1.96903043511361;2.33194883411028
11838;1.9449087583382;2.28271121035005
11839;2.24639343988333;2.48262100563059
11840;2.14842129364982;2.32726458606745
11841;2.08889779727635;2.33089125261419
11842;2.1175617262425;2.34436498113365
11843;2.42154079601938;2.36051764306954
11844;2.1991931314722;2.48414445400203
11845;1.98960767946881;2.4995074843977
11846;1.9039337453645;2.39962908809299
11847;2.50709108752117;2.40243234866334
11848;2.08550194397238;2.44321567402864
11849;2.22689965007761;2.5580706945117
11850;2.19700769328262;2.47842986339138
11851;2.19159694885949;2.44156309756012
11852;2.14912493096442;2.38287553517435
11853;2.12415687937369;2.49080523313027
11854;2.19357365358034;2.40085031384051
12540;2.19357365358034;2.40085031384051
12541;2.34628057568319;2.42303583433069
12542;1.99744737810237;2.47226194706119
12543;2.04329591611062;2.51566200484365
12544;2.16951077154663;2.54738792313597
12544;2.18081034948192;2.51991868620377
12545;2.17496773636226;2.48307214665804
12546;2.32210630696273;2.63481702157865
12547;2.29307992727438;2.59413093796659
12548;2.26259331530162;2.6286973495292
12549;2.13183762049447;2.59870779040383
12550;2.16454698730625;2.50018984892705
12551;2.25113365215182;2.6393339370117
12552;2.27419361817631;2.70951168943415
12553;2.25142980888012;2.72970408223811
12554;2.25295305398941;2.72755722172893
12555;2.31567671997007;2.67652166374081
12556;2.10068924678718;2.46983679336083
12557;1.96774051812944;2.4688389198678
12558;2.17025034441307;2.52357636207388
