"age_calBP";"Age [ka b2k]";"T_GDGT_MAF"
47432.9;47.4829;8.74
47480.5;47.5305;8.43
47528.1;47.5781;8.36
47575.7;47.6257;8.55
47623.3;47.6733;8.49
47671;47.721;8.44
47718.6;47.7686;8
47766.2;47.8162;8.36
47813.8;47.8638;NA
47861.4;47.9114;8.54
47909;47.959;8.19
47956.7;48.0067;8.48
48004.3;48.0543;7.78
48083.7;48.1337;9.35
48163;48.213;9.08
48242.4;48.2924;10.34
48388.9;48.4389;8.43
48636.3;48.6863;7.5
48685.8;48.7358;8.28
48735.3;48.7853;8.34
48784.7;48.8347;8.23
48834.2;48.8842;7.9
48883.7;48.9337;8.2
48933.2;48.9832;7.95
48982.6;49.0326;8.04
49032.1;49.0821;6.98
49081.6;49.1316;7.8
49131.1;49.1811;8.83
49350;49.4;7.86
49550;49.6;6.81
49895.5;49.9455;7.68
50240.9;50.2909;8.47
50413.6;50.4636;9.68
50586.4;50.6364;9.3
50931.8;50.9818;9.07
51277.3;51.3273;9.09
51450;51.5;8.19
51530;51.58;8.67
51760.6;51.8106;9.07
51911.2;51.9612;9.62
52061.8;52.1118;9.34
52362.9;52.4129;8.87
52664.1;52.7141;9.18
52965.3;53.0153;9.03
53266.5;53.3165;9.8
53417.1;53.4671;7.87
53868.8;53.9188;8.27
54019.4;54.0694;8.26
54170;54.22;8.19
54850;54.9;7.92
55407.1;55.4571;7.87
55464.3;55.5143;9.67
55578.6;55.6286;8.16
55607.1;55.6571;7.92
55692.9;55.7429;8.25
55750;55.8;7.5
55771.9;55.8219;NA
55771.9;55.8219;NA
55771.9;55.8219;NA
55793.8;55.8438;7.79
55837.5;55.8875;7.43
55881.3;55.9313;7.54
55925;55.975;7.32
55946.9;55.9969;NA
55946.9;55.9969;7.45
55946.9;55.9969;8.56
55968.8;56.0188;8.38
55990.6;56.0406;8.72
56034.4;56.0844;8.6
56100;56.15;8.35
56143.8;56.1938;8.9
56165.6;56.2156;9.41
56209.4;56.2594;8.24
56253.1;56.3031;8.54
56296.9;56.3469;8.78
56340.6;56.3906;8.51
56428.1;56.4781;8.25
56478.6;56.5286;7.46
56564.3;56.6143;7.53
56985;57.035;7.66
57487.5;57.5375;8.15
57822.5;57.8725;9.36
58290;58.34;7.92
