"mean_VT22"
12753.4
12802.4
12850.4
12895.4
12933.4
12971.4
13027.8
13093.4
13152
13209
13266
13323
13380
13437
13491
13542
13592
13642
13692
13744
13793
13836
13879
13922
13966
14009
14053
14098
14141
14185
14229
14272
14316
14357
14398
14438
14478
14517
14555
14593
14631
14670
14747
