"age";"kyr (B2k)";"Myr";"insolation (W/M2) Hozlmaar annual";"July insolation";"January insolation"
13650;13700;-13.7;313.328571;502.160043;84.707975
13750;13800;-13.8;313.570889;501.633007;84.785967
13850;13900;-13.9;313.806078;501.099995;84.867289
13950;14000;-14;314.03394;500.561322;84.951936
14050;14100;-14.1;314.254537;500.016408;85.039966
14150;14200;-14.2;314.467324;499.466641;85.131306
14250;14300;-14.3;314.672079;498.912471;85.225939
14350;14400;-14.4;314.868589;498.354356;85.323841
14450;14500;-14.5;315.056653;497.792762;85.424985
14550;14600;-14.6;315.236079;497.228162;85.529339
14650;14700;-14.7;315.406691;496.661026;85.63687
14750;14800;-14.8;315.568326;496.091826;85.747537
14850;14900;-14.9;315.720834;495.521028;85.861299
14950;15000;-15;315.864084;494.949091;85.978109
15050;15100;-15.1;315.998049;494.376138;86.09794
15150;15200;-15.2;316.122524;493.80293;86.220722
15250;15300;-15.3;316.23741;493.229927;86.346399
15350;15400;-15.4;316.342622;492.65758;86.474913
15450;15500;-15.5;316.438094;492.086324;86.606201
15550;15600;-15.6;316.523771;491.516576;86.740199
15650;15700;-15.7;316.599614;490.94873;86.876844
15750;15800;-15.8;316.665596;490.383155;87.016071
15850;15900;-15.9;316.721698;489.820196;87.157813
15950;16000;-16;316.767912;489.260167;87.302008
